页面类型,页面名称,EN URL,ES URL,BR URL,EN状态,ES状态,BR状态,html lang,canonical,hreflang,x-default,是否互相回链,是否缺页面,是否需要翻译,优先级,备注
Home,Homepage,https://weizhihaomachinery.com/,https://weizhihaomachinery.com/es/,https://weizhihaomachinery.com/pt/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/"", ""es"": ""https://weizhihaomachinery.com/es/"", ""br"": ""https://weizhihaomachinery.com/pt/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/"", ""es"": ""https://weizhihaomachinery.com/"", ""br"": ""https://weizhihaomachinery.com/""}",是,否,否,OK,
Product index,Products,https://weizhihaomachinery.com/products/,https://weizhihaomachinery.com/es/productos/,https://weizhihaomachinery.com/pt/produtos/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/products/"", ""es"": ""https://weizhihaomachinery.com/es/productos/"", ""br"": ""https://weizhihaomachinery.com/pt/produtos/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/products/"", ""es"": ""https://weizhihaomachinery.com/products/"", ""br"": ""https://weizhihaomachinery.com/products/""}",是,否,否,OK,
Category,Saw Blade Grinder,https://weizhihaomachinery.com/product-category/saw-blade-grinder/,https://weizhihaomachinery.com/es/afiladora-hojas-sierra/,https://weizhihaomachinery.com/pt/afiadora-serra-circular/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product-category/saw-blade-grinder/"", ""es"": ""https://weizhihaomachinery.com/es/afiladora-hojas-sierra/"", ""br"": ""https://weizhihaomachinery.com/pt/afiadora-serra-circular/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product-category/saw-blade-grinder/"", ""es"": ""https://weizhihaomachinery.com/product-category/saw-blade-grinder/"", ""br"": ""https://weizhihaomachinery.com/product-category/saw-blade-grinder/""}",是,否,否,OK,
Category,Straight Knife Grinder,https://weizhihaomachinery.com/product-category/straight-knife-grinder/,https://weizhihaomachinery.com/es/afiladora-cuchillas-rectas/,https://weizhihaomachinery.com/pt/afiadora-facas-retas/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product-category/straight-knife-grinder/"", ""es"": ""https://weizhihaomachinery.com/es/afiladora-cuchillas-rectas/"", ""br"": ""https://weizhihaomachinery.com/pt/afiadora-facas-retas/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product-category/straight-knife-grinder/"", ""es"": ""https://weizhihaomachinery.com/product-category/straight-knife-grinder/"", ""br"": ""https://weizhihaomachinery.com/product-category/straight-knife-grinder/""}",是,否,否,OK,
Category,Universal Tool Grinder,https://weizhihaomachinery.com/product-category/universal-tool-grinder/,https://weizhihaomachinery.com/es/afiladora-universal-herramientas/,https://weizhihaomachinery.com/pt/afiadora-universal-ferramentas/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product-category/universal-tool-grinder/"", ""es"": ""https://weizhihaomachinery.com/es/afiladora-universal-herramientas/"", ""br"": ""https://weizhihaomachinery.com/pt/afiadora-universal-ferramentas/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product-category/universal-tool-grinder/"", ""es"": ""https://weizhihaomachinery.com/product-category/universal-tool-grinder/"", ""br"": ""https://weizhihaomachinery.com/product-category/universal-tool-grinder/""}",是,否,否,OK,
Category,Profiling Knife Sharpening Machine,https://weizhihaomachinery.com/product-category/profiling-knife-sharpening-machine/,https://weizhihaomachinery.com/es/afiladora-cuchillas-perfiladas/,https://weizhihaomachinery.com/pt/afiadora-facas-perfiladas/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product-category/profiling-knife-sharpening-machine/"", ""es"": ""https://weizhihaomachinery.com/es/afiladora-cuchillas-perfiladas/"", ""br"": ""https://weizhihaomachinery.com/pt/afiadora-facas-perfiladas/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product-category/profiling-knife-sharpening-machine/"", ""es"": ""https://weizhihaomachinery.com/product-category/profiling-knife-sharpening-machine/"", ""br"": ""https://weizhihaomachinery.com/product-category/profiling-knife-sharpening-machine/""}",是,否,否,OK,
Category,Blade Grinding Machine,https://weizhihaomachinery.com/product-category/blade-grinding-machine/,https://weizhihaomachinery.com/es/rectificadora-cuchillas-industriales/,https://weizhihaomachinery.com/pt/retificadora-facas-industriais/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product-category/blade-grinding-machine/"", ""es"": ""https://weizhihaomachinery.com/es/rectificadora-cuchillas-industriales/"", ""br"": ""https://weizhihaomachinery.com/pt/retificadora-facas-industriais/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product-category/blade-grinding-machine/"", ""es"": ""https://weizhihaomachinery.com/product-category/blade-grinding-machine/"", ""br"": ""https://weizhihaomachinery.com/product-category/blade-grinding-machine/""}",是,否,否,OK,
Product,MF158CNC,https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158cnc/,https://weizhihaomachinery.com/es/producto/mf158cnc-afiladora-sierra-circular-cnc/,https://weizhihaomachinery.com/pt/produto/mf158cnc-afiadora-serra-circular-cnc/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158cnc/"", ""es"": ""https://weizhihaomachinery.com/es/producto/mf158cnc-afiladora-sierra-circular-cnc/"", ""br"": ""https://weizhihaomachinery.com/pt/produto/mf158cnc-afiadora-serra-circular-cnc/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158cnc/"", ""es"": ""https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158cnc/"", ""br"": ""https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158cnc/""}",是,否,否,OK,
Product,MF2510CNC / MF2515CNC,https://weizhihaomachinery.com/product/fully-automatic-linear-grinding-machine-mf2510cnc-mf2515cnc/,https://weizhihaomachinery.com/es/producto/mf2510-2515cnc-rectificadora-lineal-automatica/,https://weizhihaomachinery.com/pt/produto/mf2510-2515cnc-retificadora-linear-automatica/,200,200,200,"{""en"": ""en-US"", ""es"": ""es-ES"", ""br"": ""pt-BR""}","{""en"": ""https://weizhihaomachinery.com/product/fully-automatic-linear-grinding-machine-mf2510cnc-mf2515cnc/"", ""es"": ""https://weizhihaomachinery.com/es/producto/mf2510-2515cnc-rectificadora-lineal-automatica/"", ""br"": ""https://weizhihaomachinery.com/pt/produto/mf2510-2515cnc-retificadora-linear-automatica/""}","{""en"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""es"": [""en"", ""es"", ""pt-BR"", ""x-default""], ""br"": [""en"", ""es"", ""pt-BR"", ""x-default""]}","{""en"": ""https://weizhihaomachinery.com/product/fully-automatic-linear-grinding-machine-mf2510cnc-mf2515cnc/"", ""es"": ""https://weizhihaomachinery.com/product/fully-automatic-linear-grinding-machine-mf2510cnc-mf2515cnc/"", ""br"": ""https://weizhihaomachinery.com/product/fully-automatic-linear-grinding-machine-mf2510cnc-mf2515cnc/""}",是,否,否,OK,
Product,MF223C,https://weizhihaomachinery.com/product/profiling-knife-sharpening-machine/,,,200,,,"{""en"": ""en-US"", ""es"": """", ""br"": """"}","{""en"": ""https://weizhihaomachinery.com/product/profiling-knife-sharpening-machine/"", ""es"": """", ""br"": """"}","{""en"": [], ""es"": [], ""br"": []}","{""en"": """", ""es"": """", ""br"": """"}",否,"ES,BR",是,P1,"EN hreflang missing ['en', 'es', 'pt-BR', 'x-default']; ES page missing or non-200 (None; missing hreflang alternate); BR page missing or non-200 (None; missing hreflang alternate)"
