page_type,page_name,group_id,en_url,es_url,br_url,en_http_status,es_http_status,br_http_status,registry_status,language_status,missing_languages,priority,notes
Home,Home,home,https://weizhihaomachinery.com/,https://weizhihaomachinery.com/es/,https://weizhihaomachinery.com/pt/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
About / Contact,About,about,https://weizhihaomachinery.com/about-us/,https://weizhihaomachinery.com/es/sobre-nosotros/,https://weizhihaomachinery.com/pt/sobre-nos/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
About / Contact,Contact,contact,https://weizhihaomachinery.com/contact/,https://weizhihaomachinery.com/es/contacto/,https://weizhihaomachinery.com/pt/contato/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Resources / Products hub,Products,products,https://weizhihaomachinery.com/products/,https://weizhihaomachinery.com/es/productos/,https://weizhihaomachinery.com/pt/produtos/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product category,Straight Knife Grinder,cat-straight-knife-grinder,https://weizhihaomachinery.com/product-category/straight-knife-grinder/,https://weizhihaomachinery.com/es/afiladora-cuchillas-rectas/,https://weizhihaomachinery.com/pt/afiadora-facas-retas/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product category,Saw Blade Grinder,cat-saw-blade-grinder,https://weizhihaomachinery.com/product-category/saw-blade-grinder/,https://weizhihaomachinery.com/es/afiladora-hojas-sierra/,https://weizhihaomachinery.com/pt/afiadora-serra-circular/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product category,Universal Tool Grinder,cat-universal-tool-grinder,https://weizhihaomachinery.com/product-category/universal-tool-grinder/,https://weizhihaomachinery.com/es/afiladora-universal-herramientas/,https://weizhihaomachinery.com/pt/afiadora-universal-ferramentas/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product category,Blade Grinding Machine,cat-blade-grinding-machine,https://weizhihaomachinery.com/product-category/blade-grinding-machine/,https://weizhihaomachinery.com/es/rectificadora-cuchillas-industriales/,https://weizhihaomachinery.com/pt/retificadora-facas-industriais/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product category,Profiling Knife Sharpening,cat-profiling-knife-sharpening,https://weizhihaomachinery.com/product-category/profiling-knife-sharpening-machine/,https://weizhihaomachinery.com/es/afiladora-cuchillas-perfiladas/,https://weizhihaomachinery.com/pt/afiadora-facas-perfiladas/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product page,Mf158Cnc,product-mf158cnc,https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158cnc/,https://weizhihaomachinery.com/es/producto/mf158cnc-afiladora-sierra-circular-cnc/,https://weizhihaomachinery.com/pt/produto/mf158cnc-afiadora-serra-circular-cnc/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product page,Mf2510 2515Cnc,product-mf2510-2515cnc,https://weizhihaomachinery.com/product/fully-automatic-linear-grinding-machine-mf2510cnc-mf2515cnc/,https://weizhihaomachinery.com/es/producto/mf2510-2515cnc-rectificadora-lineal-automatica/,https://weizhihaomachinery.com/pt/produto/mf2510-2515cnc-retificadora-linear-automatica/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
FAQ,FAQ,faq,https://weizhihaomachinery.com/faq/,https://weizhihaomachinery.com/es/preguntas-frecuentes/,https://weizhihaomachinery.com/pt/perguntas-frequentes/,200,200,200,complete_in_registry,"EN:source, ES:published, BR:published",,P0,"Live registry group. BR uses key=pt, label=BR, html/hreflang=pt-BR."
Product page,MF158C,planned-product-mf158c,https://weizhihaomachinery.com/product/fully-automatic-circular-saw-blade-sharpening-machine-mf158c/,,,200,,,not_in_registry_en_only,EN:en_only,"ES, BR",P2,Core representative model from cat-saw-blade-grinder; create ES/BR drafts before registry.
Product page,MF158,planned-product-mf158,https://weizhihaomachinery.com/product/circular-saw-blade-grinding-machine-mf158/,,,200,,,not_in_registry_en_only,EN:en_only,"ES, BR",P2,Core representative model from cat-saw-blade-grinder; create ES/BR drafts before registry.
Product page,MF128,planned-product-mf128,https://weizhihaomachinery.com/product/circular-saw-blade-gear-grinding-machine-mf128/,,,200,,,not_in_registry_en_only,EN:en_only,"ES, BR",P2,Core representative model from cat-saw-blade-grinder; create ES/BR drafts before registry.
Product page,MF2510C/2515C,planned-product-mf2510c-2515c,https://weizhihaomachinery.com/product/automatic-straight-knife-grinder-mf2510c-2515c/,,,404,,,not_in_registry_en_only,EN:en_only,"ES, BR",P2,Core representative model from cat-straight-knife-grinder; create ES/BR drafts before registry.
